k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.7857868245563709, 0.9987947067004189
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.7855741190999204, 0.9948650657853616
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.7862015477209692, 0.9972638469591848
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 6, 0.7848252980993247, 0.9990283228639288
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 7, 0.7846375244379977, 0.9950041611975747
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 8, 0.7840072968488752, 0.9936047549846865
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 9, 0.7803166741484638, 0.9909284025564098
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 10, 0.770390331508089, 0.9887321191949496
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 11, 0.7702254103668057, 0.9862047096693543
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 12, 0.7695134158273411, 0.9812550901618851
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 13, 0.768775911206575, 0.9797123085817864
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 14, 0.7664091987703645, 0.970887013250828
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 15, 0.7666058838018923, 0.9700768813675855
16, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 16, 0.7665515773938877, 0.9671045791924495
16, 1000, 0.01, 0.01, 1.0, 1, 0.9944183342184146, 0.8736294909056816
16, 1000, 0.01, 0.01, 1.0, 2, 0.8839234577565966, 0.9378489749359336
16, 1000, 0.01, 0.01, 1.0, 3, 0.8027127634055351, 0.9991116593224577
16, 1000, 0.01, 0.01, 1.0, 4, 0.8026911353287554, 0.9952139047752985
16, 1000, 0.01, 0.01, 1.0, 5, 0.8035435554808602, 0.9974463435214702
16, 1000, 0.01, 0.01, 1.0, 6, 0.8022325318576848, 0.9991122288893054
16, 1000, 0.01, 0.01, 1.0, 7, 0.8017497206585829, 0.9945856014438401
16, 1000, 0.01, 0.01, 1.0, 8, 0.801381102764334, 0.9927209427151699
16, 1000, 0.01, 0.01, 1.0, 9, 0.7974042038333617, 0.9897251664166511
16, 1000, 0.01, 0.01, 1.0, 10, 0.7845949000773143, 0.9869640235327208
16, 1000, 0.01, 0.01, 1.0, 11, 0.7846744859264725, 0.9837613171135695
16, 1000, 0.01, 0.01, 1.0, 12, 0.7836144506781535, 0.9798662463278955
16, 1000, 0.01, 0.01, 1.0, 13, 0.7839800923472637, 0.9771136750734423
16, 1000, 0.01, 0.01, 1.0, 14, 0.7826791718717494, 0.9705652392337021
16, 1000, 0.01, 0.01, 1.0, 15, 0.7811539288344502, 0.9678378554909681
16, 1000, 0.01, 0.01, 1.0, 16, 0.7765363235794718, 0.9618669276204763
